name,status,envtag,method,leaves_budget,seed,alg,env,difficulty,leaves_actual,depth,select,report,report_min,report_max,frac100,n_report,bigjumps,candjumps
bus14_dtpo-ws_L16_s102,ok,bus14,dtpo-ws,16,102,DTPO,bus14,0,16,5,64.37,64.37,60.02,100.00,2.5,40,41,0
bus14_dtpo-ws_L16_s103,no_eval,,,,,,,,,,,,,,,,,
bus14_dtpo-ws_L16_s104,ok,bus14,dtpo-ws,16,104,DTPO,bus14,0,16,6,61.52,61.52,13.54,63.58,0.0,40,3,0
bus14_dtpo_L16_s100,ok,bus14,dtpo,16,100,DTPO,bus14,0,16,7,16.12,16.12,1.12,60.02,0.0,40,0,0
bus14_dtpo_L16_s101,ok,bus14,dtpo,16,101,DTPO,bus14,0,16,11,14.78,14.78,13.53,63.64,0.0,40,0,0
bus14_dtpo_L16_s102,ok,bus14,dtpo,16,102,DTPO,bus14,0,16,6,13.57,13.57,13.57,13.57,0.0,40,0,0
bus14_dtpo_L16_s103,ok,bus14,dtpo,16,103,DTPO,bus14,0,16,11,15.05,15.05,2.38,63.58,0.0,40,0,0
bus14_dtpo_L16_s104,ok,bus14,dtpo,16,104,DTPO,bus14,0,16,10,100.00,100.00,100.00,100.00,100.0,40,38,0
bus14_viper_L16_s100,ok,bus14,viper,16,100,VIPER,bus14,0,16,8,13.63,13.63,8.30,29.95,0.0,40,25,0
bus14_viper_L16_s101,ok,bus14,viper,16,101,VIPER,bus14,0,16,8,13.63,13.63,8.30,29.95,0.0,40,21,0
bus14_viper_L16_s102,ok,bus14,viper,16,102,VIPER,bus14,0,16,9,36.01,36.01,8.59,63.58,0.0,40,0,0
bus14_viper_L16_s103,ok,bus14,viper,16,103,VIPER,bus14,0,16,8,13.63,13.63,8.30,29.95,0.0,40,21,0
bus14_viper_L16_s104,ok,bus14,viper,16,104,VIPER,bus14,0,16,8,63.58,63.58,63.58,63.58,0.0,40,3,0
bus14_viper_L32_s100,ok,bus14,viper,32,100,VIPER,bus14,0,32,7,17.08,17.08,13.50,38.52,0.0,40,7,0
bus14_viper_L32_s101,ok,bus14,viper,32,101,VIPER,bus14,0,32,9,63.58,63.58,63.58,63.58,0.0,40,12,0
bus14_viper_L32_s102,ok,bus14,viper,32,102,VIPER,bus14,0,32,9,16.82,16.82,8.30,59.98,0.0,40,5,0
bus14_viper_L32_s103,ok,bus14,viper,32,103,VIPER,bus14,0,32,8,8.49,8.49,6.57,13.58,0.0,40,7,0
bus14_viper_L32_s104,ok,bus14,viper,32,104,VIPER,bus14,0,32,8,38.72,38.72,31.60,63.58,0.0,40,15,0
bus14_viper_L64_s100,ok,bus14,viper,64,100,VIPER,bus14,0,64,12,24.33,24.33,0.16,63.58,0.0,40,17,0
bus14_viper_L64_s101,ok,bus14,viper,64,101,VIPER,bus14,0,64,12,74.98,74.98,8.46,100.00,40.0,40,16,0
bus14_viper_L64_s102,ok,bus14,viper,64,102,VIPER,bus14,0,64,11,28.87,28.87,3.91,63.62,0.0,40,14,0
bus14_viper_L64_s103,ok,bus14,viper,64,103,VIPER,bus14,0,64,10,12.65,12.65,0.50,63.57,0.0,40,9,0
bus14_viper_L64_s104,ok,bus14,viper,64,104,VIPER,bus14,0,64,10,27.43,27.43,5.75,63.58,0.0,40,19,0
bus14_viper_L8_s100,ok,bus14,viper,8,100,VIPER,bus14,0,8,4,55.61,55.61,17.14,100.00,15.0,40,14,0
bus14_viper_L8_s101,ok,bus14,viper,8,101,VIPER,bus14,0,8,4,55.61,55.61,17.14,100.00,15.0,40,11,0
bus14_viper_L8_s102,ok,bus14,viper,8,102,VIPER,bus14,0,8,4,69.01,69.01,17.14,100.00,50.0,40,7,0
bus14_viper_L8_s103,ok,bus14,viper,8,103,VIPER,bus14,0,8,4,51.37,51.37,17.10,100.00,10.0,40,11,0
bus14_viper_L8_s104,ok,bus14,viper,8,104,VIPER,bus14,0,8,4,55.61,55.61,17.14,100.00,15.0,40,7,0
bus5_dagger_s100,ok,bus5,dagger,,100,DAGGER,bus5,0,NA,NA,0.89,0.89,0.05,6.80,0.0,10,2,0
bus5_dagger_s101,ok,bus5,dagger,,101,DAGGER,bus5,0,NA,NA,0.56,0.56,0.05,4.51,0.0,10,2,0
bus5_dagger_s102,ok,bus5,dagger,,102,DAGGER,bus5,0,NA,NA,100.00,100.00,100.00,100.00,100.0,10,3,0
bus5_dagger_s103,ok,bus5,dagger,,103,DAGGER,bus5,0,NA,NA,3.16,3.16,0.10,30.70,0.0,10,0,0
bus5_dagger_s104,ok,bus5,dagger,,104,DAGGER,bus5,0,NA,NA,3.29,3.29,0.05,30.61,0.0,10,2,0
bus5_daggertree_L16_s100,ok,bus5,daggertree,16,100,DTPO,bus5,0,16,7,1.62,1.62,0.10,5.26,0.0,10,0,0
bus5_daggertree_L16_s101,ok,bus5,daggertree,16,101,DTPO,bus5,0,16,7,1.62,1.62,0.10,5.26,0.0,10,0,0
bus5_daggertree_L16_s102,ok,bus5,daggertree,16,102,DTPO,bus5,0,16,7,1.62,1.62,0.10,5.26,0.0,10,0,0
bus5_daggertree_L16_s103,ok,bus5,daggertree,16,103,DTPO,bus5,0,16,7,1.62,1.62,0.10,5.26,0.0,10,0,0
bus5_daggertree_L16_s104,ok,bus5,daggertree,16,104,DTPO,bus5,0,16,7,1.62,1.62,0.10,5.26,0.0,10,0,0
bus5_daggertree_L32_s100,ok,bus5,daggertree,32,100,DTPO,bus5,0,32,11,50.99,50.99,0.20,100.00,30.0,10,0,0
bus5_daggertree_L32_s101,ok,bus5,daggertree,32,101,DTPO,bus5,0,32,11,50.99,50.99,0.20,100.00,30.0,10,0,0
bus5_daggertree_L32_s102,ok,bus5,daggertree,32,102,DTPO,bus5,0,32,11,50.99,50.99,0.20,100.00,30.0,10,0,0
bus5_daggertree_L32_s103,ok,bus5,daggertree,32,103,DTPO,bus5,0,32,11,50.99,50.99,0.20,100.00,30.0,10,0,0
bus5_daggertree_L32_s104,ok,bus5,daggertree,32,104,DTPO,bus5,0,32,11,50.99,50.99,0.20,100.00,30.0,10,0,0
bus5_daggertree_L64_s100,ok,bus5,daggertree,64,100,DTPO,bus5,0,64,11,90.04,90.04,0.45,100.00,90.0,10,0,0
